usindex,examiner_art_unit,uspc_class,rejection,allowance
3856410,2182,710,0.48853369957443926,0.5114663004255607
6214826,3901,001,0.9999863193972852,1.3680602714772279e-05
3743302,3672,166,0.5603649116631615,0.4396350883368385
5934379,2834,290,0.5583535859059605,0.44164641409403954
8926653,3761,219,0.6448522054611321,0.35514779453886797
3034902,3743,431,0.6112745747761534,0.38872542522384657
8335267,1628,424,0.5819181247686328,0.4180818752313672
4583848,2111,710,0.5096407860198402,0.4903592139801598
7373725,2856,073,0.4370517773374216,0.5629482226625784
1629377,3108,116,0.7315257305254073,0.2684742694745927
6143239,1648,435,0.6907698512147784,0.3092301487852216
4184337,1793,423,0.6766860798649705,0.3233139201350294
5447383,2466,370,0.3918865306322439,0.6081134693677561
3068930,3742,600,0.4718387983546297,0.5281612016453703
8580168,1677,436,0.5371178037327233,0.4628821962672766
3669974,3744,062,0.596372444729135,0.4036275552708651
7673948,1761,008,0.5665494982174069,0.43345050178259314
14352255,1102,204,0.5814854339872617,0.41851456601273823
6982871,1646,435,0.7613440266211327,0.23865597337886732
6878714,2128,703,0.5696261860781955,0.43037381392180446
882432,1205,424,0.5771298379738709,0.42287016202612915
1734704,2501,372,0.5807813410169653,0.4192186589830346
9335694,3664,701,0.3955203781889972,0.6044796218110028
14327723,1305,046,0.05945629564758659,0.9405437043524134
3373649,2616,370,0.6674149099740223,0.33258509002597775
7242018,3641,102,0.5378691860414124,0.4621308139585876
568584,1303,065,0.5697950658439919,0.43020493415600813
10607748,1795,430,0.6638685822119332,0.3361314177880667
5420516,2824,365,0.2913938098078449,0.7086061901921551
7029782,2696,345,0.44814982164120276,0.5518501783587972
3602928,2155,709,0.49961462198740536,0.5003853780125946
2559822,1612,546,0.7108439708687131,0.28915602913128696
1237630,3402,123,0.5585491888080956,0.4414508111919044
1404528,2504,307,0.4325210801436009,0.5674789198563991
8247865,3763,604,0.5387357695357557,0.4612642304642442
4450198,3633,052,0.5898961821829765,0.41010381781702354
5091943,2852,399,0.33227064507926174,0.6677293549207383
6879910,1764,008,0.6119485394014276,0.38805146059857243
8451716,2479,370,0.39360696579987364,0.6063930342001264
5246116,3902,001,0.9999923676490821,7.63235091798465e-06
10533194,3600,426,0.9998329342731791,0.00016706572682094134
7780771,3765,002,0.6444820934404472,0.35551790655955284
10169178,1632,424,0.7713655170679309,0.22863448293206912
5067891,3752,222,0.6394876235511655,0.3605123764488345
2108290,3723,081,0.6561403703257396,0.34385962967426037
5321661,2875,362,0.5415486987984375,0.45845130120156247
4030476,2627,369,0.7570187775133019,0.24298122248669807
973614,1308,210,0.713531613691748,0.286468386308252
3869773,1742,222,0.6452554215815429,0.35474457841845713
9871151,2688,340,0.34107958923021775,0.6589204107697822
8012177,2648,455,0.3432503525893461,0.6567496474106539
774949,2107,318,0.47304331476680284,0.5269566852331972
8354093,1674,514,0.4684112699131332,0.5315887300868668
8380921,2918,D14,0.01441803735317082,0.9855819626468292
856033,2104,200,0.5928067917325295,0.40719320826747046
9406017,2872,359,0.5251790915557636,0.4748209084442364
8243443,2414,370,0.729973368059863,0.27002663194013704
8795121,2854,073,0.4394435146555038,0.5605564853444962
3994789,2912,D21,0.01626942251021335,0.9837305774897867
2835604,2642,379,0.5693967759964633,0.43060322400353673
2433685,3661,701,0.4532962975763093,0.5467037024236907
3707446,2832,200,0.5714155278820647,0.42858447211793527
8241623,3667,701,0.23020433643894977,0.7697956635610502
698086,1201,548,0.6900045034918052,0.30999549650819486
6911025,2833,439,0.5328072408797928,0.46719275912020725
2182588,1752,430,0.7078037277582514,0.29219627224174866
7796241,2497,726,0.2537029566758152,0.7462970433241848
8964118,1618,424,0.7158814858925507,0.28411851410744926
9629076,2161,707,0.5834826363127972,0.4165173636872028
62699,3501,285,0.579353763859969,0.42064623614003105
5450314,2159,707,0.4761686703325634,0.5238313296674366
4459022,3744,165,0.6139067412547674,0.38609325874523265
5262236,2856,073,0.4370517773374216,0.5629482226625784
463757,3307,400,0.610062624820271,0.389937375179729
1946647,2746,455,0.3646400645325425,0.6353599354674575
3922053,1791,264,0.7441480512985617,0.2558519487014384
9326150,2865,702,0.5025716235803848,0.4974283764196152
6560613,3762,607,0.4259662802387455,0.5740337197612545
5132534,2676,358,0.36803268132444833,0.6319673186755517
4815736,3656,384,0.45278885548728864,0.5472111445127114
5460344,2431,726,0.5008498660654558,0.4991501339345442
5437789,2628,345,0.5094275298566532,0.4905724701433468
6537557,1624,514,0.6274431002994121,0.372556899700588
3930963,3749,034,0.642165256359116,0.35783474364088397
4756578,2861,347,0.5498582303272761,0.4501417696727239
2990320,2643,348,0.41263859106836753,0.5873614089316325
8240895,2836,361,0.44995878897564434,0.5500412110243557
3910222,2912,D14,0.009527844856746293,0.9904721551432537
